%time,field.header.seq,field.header.stamp,field.header.frame_id,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.names0,field.names1,field.names2,field.names3,field.names4,field.names5,field.names6
158697392397266955,48,158697392397266955,,-0.00758861514524,0.0296612497255,-0.913871441516,0.0169545088468,0.999170695129,0.0100677712057,0.0356245119391,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697392427570980,49,158697392427570980,,-0.00755687330439,0.0296650968585,-0.913870775949,0.0169568982593,0.999168874437,0.0102076708757,0.0356344470431,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697392457875005,50,158697392457875005,,-0.00757655088187,0.0296518184585,-0.913871615835,0.0169507605143,0.999170911638,0.0100716560715,0.0356190301242,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697392488179030,51,158697392488179030,,-0.00760238782139,0.0296675058495,-0.913872496505,0.0169572774114,0.999172299189,0.010048130375,0.0355836825275,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697392518483055,52,158697392518483055,,-0.00757626574863,0.0296527789539,-0.91387219466,0.0169470643773,0.99916977015,0.0101831705625,0.0356211151074,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697392548787080,53,158697392548787080,,-0.00758413893147,0.0296657290495,-0.913871725319,0.016954535141,0.999170095457,0.0101502243294,0.0356178928959,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697392579091105,54,158697392579091105,,-0.00759056942342,0.0296642609523,-0.913872960481,0.0169562657441,0.999171415654,0.0101714636202,0.0355739568384,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697392609395130,55,158697392609395130,,-0.00756689721148,0.02966623806,-0.913871622418,0.016953457667,0.999169223417,0.0101935070809,0.0356305202137,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697392639699155,56,158697392639699155,,-0.00757419394747,0.0296446276356,-0.913871001147,0.0169437744162,0.999170000692,0.0101085155151,0.0356375125457,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697392670003180,57,158697392670003180,,-0.00758998891617,0.0296583681596,-0.91387237271,0.0169502003089,0.999170973208,0.0101448526842,0.0355968309961,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697392700307205,58,158697392700307205,,-0.00757901381339,0.0296638333372,-0.913872064682,0.0169568519482,0.99917080976,0.0101141280628,0.0356068397938,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697392730611230,59,158697392730611230,,-0.00757981077133,0.0296536434918,-0.913871786813,0.0169519976722,0.999170917893,0.0100935058835,0.0356121491514,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697392760915255,60,158697392760915255,,-0.00758758522416,0.029666986786,-0.913871191565,0.0169516645479,0.999169567624,0.0101521398326,0.035633550082,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697392791219280,61,158697392791219280,,-0.00759708595839,0.0296658647271,-0.913871871165,0.0169538910114,0.99917072071,0.0101263502641,0.0356073806321,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697392821523305,62,158697392821523305,,-0.0075903054237,0.0296764296246,-0.913871203368,0.0169555046579,0.999169799095,0.0101886153991,0.035614593283,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697392851827330,63,158697392851827330,,-0.00757717611731,0.0296490316892,-0.913872450306,0.0169514021719,0.999171343258,0.0100601576082,0.0356098753657,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697392882131355,64,158697392882131355,,-0.00757644655383,0.0296583988818,-0.91387245315,0.0169560885992,0.999170782916,0.0101517449773,0.0355974008917,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697392912435380,65,158697392912435380,,-0.0075951407566,0.0296671087187,-0.9138718161,0.0169560051802,0.999171304771,0.0101192384847,0.0355920230647,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697392942739405,66,158697392942739405,,-0.0075996476771,0.0296671433706,-0.913872559027,0.0169554106475,0.999171739192,0.0100879723131,0.0355890673365,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697392973043430,67,158697392973043430,,-0.00758450187182,0.0296795198991,-0.913871404997,0.016964575696,0.999170499208,0.0101320788041,0.0356069377636,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697393003347455,68,158697393003347455,,-0.00759984027144,0.0296534850823,-0.913872451326,0.0169492645131,0.999171142353,0.0101179893767,0.0355999334099,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697393033651480,69,158697393033651480,,-0.00757278435901,0.0296656146413,-0.913872046115,0.0169545907275,0.999170000854,0.0102019667532,0.035605703568,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697393063955505,70,158697393063955505,,-0.00756394555728,0.0296719005735,-0.913870691856,0.0169568861207,0.999169261202,0.0101670329808,0.0356353654912,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697393094259530,71,158697393094259530,,-0.00760064105942,0.0296559353899,-0.913873007546,0.0169525117372,0.99917155526,0.0101239749654,0.0355853897282,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697393124563555,72,158697393124563555,,-0.0075839843176,0.0296626449155,-0.91387170081,0.0169525702885,0.99917042748,0.0100776286217,0.0356300922963,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697393154867579,73,158697393154867579,,-0.00758310711418,0.0296567427345,-0.913871822793,0.016958483122,0.999172055985,0.0100313064078,0.0355946597195,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697393185171605,74,158697393185171605,,-0.00757749866195,0.0296637291286,-0.913871545655,0.0169531029396,0.999169851983,0.0101469276811,0.0356262613542,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697393215475630,75,158697393215475630,,-0.00758269232523,0.0296605863969,-0.91387273903,0.0169535295045,0.999170774457,0.0101072802092,0.0356115248574,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697393245779655,76,158697393245779655,,-0.00757966796134,0.0296471793168,-0.913872609579,0.0169498254131,0.999171191473,0.0101123935628,0.0356000802134,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
